title,parenttask,max_xp
C2_SimpleBashUtils,,250
C3_s21_string+,C2_SimpleBashUtils,500
C4_s21_math,C2_SimpleBashUtils,300
C5_s21_decimal,C4_s21_math,350
C6_s21_matrix,C5_s21_decimal,200
C7_SmartCalc_v1.0,C6_s21_matrix,500
C8_3DViewer_v1.0,C7_SmartCalc_v1.0,750
DO1_Linux,C3_s21_string+,300
DO2_Linux_Network,DO1_Linux,250
DO3_LinuxMonitoring_v1.0,DO2_Linux_Network,350
DO4_LinuxMonitoring_v2.0,DO3_LinuxMonitoring_v1.0,350
DO5_SimpleDocker,DO3_LinuxMonitoring_v1.0,300
DO6_CICD,DO5_SimpleDocker,300
CPP1_s21_matrix+,C8_3DViewer_v1.0,300